,psalMean,psalStd,presMean,presStd,cndcMean,cndcStd,tempMean,tempStd,startDate,endDate,nProf
34.0,36.41761904761905,0.12315588784391386,15.978761061946901,8.276380455931656,,,17.184681415929205,0.6625544757318168,2007-02-04,2007-03-09,113.0
35.0,36.40224545454545,0.15503158520231322,15.587826086956522,8.415557312606794,,,16.829426086956513,0.7908403931158781,2007-03-10,2007-04-11,115.0
36.0,36.41867741935485,0.16253910307384645,15.651515151515152,8.263410419586043,,,17.287585858585867,0.7995399188525841,2007-04-12,2007-05-14,99.0
37.0,36.463767441860455,0.11407217504363616,15.66666666666667,8.610242078868424,,,18.351192592592596,0.8441165698686474,2007-05-15,2007-06-16,135.0
38.0,36.59689208633092,0.14544612482556937,15.60275862068966,8.580711127189627,,,20.400489655172407,0.7513972550932602,2007-06-17,2007-07-19,145.0
39.0,36.68644029850746,0.10370044418043009,15.428260869565216,8.514770242456061,5.214,0.0,21.762333333333338,0.6033352959331442,2007-07-20,2007-08-21,138.0
40.0,36.73264341085271,0.14268594219745404,15.60518518518518,8.665752790189345,,,22.118222222222226,0.6538585664160268,2007-08-22,2007-09-23,135.0
41.0,36.79975838926173,0.0909135058951348,15.577707006369428,8.447276899461064,,,22.07326751592357,0.5462670332046642,2007-09-24,2007-10-26,157.0
42.0,36.761189526127836,0.12043236973222599,15.664596273291929,8.205321519735596,,,20.90972049831604,0.7323432358080129,2007-10-27,2007-11-28,161.0
43.0,36.6945546875,0.11369303946130034,15.485714285714291,8.348672030648029,,,19.358601503759402,0.6887561025396437,2007-11-29,2007-12-31,133.0
44.0,36.61432374100722,0.07669535214715367,15.62312925170068,8.488058235336704,,,18.33004761904763,0.5626148507812739,2008-01-01,2008-02-03,147.0
45.0,36.57541984732826,0.07054076335964315,15.411278195488723,8.54245772362379,,,17.88539849624062,0.49731366146176736,2008-02-04,2008-03-08,133.0
46.0,36.52682524271841,0.08521580760845994,15.242718446601945,8.494388019846705,,,17.521631067961174,0.4308284766356802,2008-03-09,2008-04-11,103.0
47.0,36.52820183486239,0.0895899899146012,15.18715596330275,8.283764810106213,,,18.00463302752294,0.4931676647609303,2008-04-12,2008-05-14,109.0
48.0,36.557161904761905,0.170832527291943,15.261904761904763,8.076454155234938,,,19.359809523809535,0.8492868965200939,2008-05-15,2008-06-16,105.0
49.0,36.67481521739129,0.19546647104899548,15.256521739130434,8.058376357988918,,,21.287347826086954,0.8708104401891809,2008-06-17,2008-07-19,92.0
